,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Habang Buhay,Habang Buhay,Zack Tabudlo,2021-09-17,244067,71,0.62,0.088,0.62,0.668,0.0,0.362,-5.719,0.0305,118.013,4
1,Katabi,Katabi,Fred Engay,2020-12-27,266815,52,0.642,0.811,0.642,0.281,0.0481,0.111,-9.926,0.0413,74.952,4
2,Easy On Me,Easy On Me,Adele,2021-10-14,224694,86,0.604,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4
3,lutang,lutang,jikamarie,2021-08-29,272125,0,0.588,0.36,0.588,0.501,0.000273,0.101,-12.167,0.0374,104.987,4
4,Here's Your Perfect,Here's Your Perfect,Jamie Miller,2021-04-30,158594,77,0.558,0.499,0.558,0.454,0.0,0.146,-5.335,0.0551,113.12,4
5,Pano,Pano,Zack Tabudlo,2021-12-06,254400,75,0.375,0.868,0.375,0.457,0.0145,0.191,-7.018,0.0315,174.839,3
6,sun and moon,sun and moon,anees,2022-04-06,151507,81,0.815,0.457,0.815,0.442,0.0,0.101,-7.462,0.107,90.019,4
7,What?,What?,SB19,2021-03-09,270192,52,0.561,0.0575,0.561,0.856,0.0,0.0728,-3.71,0.19,95.975,4
8,Shivers,Shivers,Ed Sheeran,2021-09-10,207853,11,0.788,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
9,Angel Baby,Angel Baby,Troye Sivan,2021-09-09,220779,81,0.559,0.0145,0.559,0.559,0.0,0.138,-6.425,0.0358,72.498,4
10,Magandang Dilag,Magandang Dilag,JM Bales,2020-11-20,237818,53,0.898,0.07,0.898,0.458,0.0,0.387,-12.568,0.0463,110.014,4
11,Every Summertime,Every Summertime,NIKI,2021-08-10,215686,81,0.628,0.393,0.628,0.676,6.94e-05,0.0978,-4.227,0.0424,78.996,4
12,Byahe,Byahe,John Roa,2016-09-30,249184,59,0.682,0.565,0.682,0.471,0.00277,0.0919,-9.486,0.053,126.618,5
13,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021-05-21,154983,83,0.721,0.00226,0.721,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,4
14,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,89,0.591,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
15,Pagsamo,Pagsamo,Arthur Nery,2021-10-01,297001,47,0.644,0.706,0.644,0.315,0.00162,0.0962,-9.382,0.0339,60.001,4
16,About Damn Time,About Damn Time,Lizzo,2022-04-14,191822,92,0.836,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,4
17,sabik,sabik,The Juans,2021-12-10,209999,37,0.704,0.368,0.704,0.339,0.000799,0.128,-11.313,0.0397,81.998,4
18,DARARI,THE SECOND STEP : CHAPTER ONE,TREASURE,2022-02-15,220716,82,0.716,0.486,0.716,0.638,0.0,0.0702,-6.87,0.0392,84.955,4
19,Pangalan,Pangalan,Mei Teves,2021-12-31,234097,15,0.643,0.379,0.643,0.356,0.000325,0.107,-9.178,0.0294,89.972,4
20,Heartbreak Anniversary,TAKE TIME,Giveon,2020-03-27,198370,81,0.449,0.524,0.449,0.465,1.02e-06,0.303,-8.964,0.0791,89.087,3
21,Fuck It (I'm in Love Again),Fuck It (I'm in Love Again),SHNTI,2022-02-22,260000,47,0.753,0.478,0.753,0.344,0.0,0.147,-6.476,0.078,90.002,4
22,Woman,Planet Her,Doja Cat,2021-06-25,172626,90,0.824,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
23,Kahit Na Tambay,Kahit Na Tambay,Fred Engay,2021-10-01,157940,49,0.861,0.661,0.861,0.649,0.0907,0.0915,-7.499,0.0956,140.009,4
24,Asan Ka Na Ba,Asan Ka Na Ba,Zack Tabudlo,2022-03-25,241132,74,0.676,0.149,0.676,0.768,0.00147,0.345,-5.695,0.0294,105.999,4
